Timestamp,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,Y1,Y2
11/23/2020,354.0076488,206.4268192,675.120212,7.027316003,6.36156468,14.58185599,30.13649449,94.72910208,33.44958594,1.126736842,5.05,30.14406885,15.5,95.28261668,1,94.7379386,0.801338477,206.4187015,14.5817307,-196.3518835,620.5840283,5.415,5.05,0.46
11/24/2020,289.0332595,269.9757384,629.999557,6.996959916,6.777655127,10.8436397,34.72848101,91.87594937,30.15457595,1.2,7.63,34.73239409,15.5,91.78795042,1,91.78795042,0.943797456,269.9877637,10.8449165,-207.1639241,542.0118143,7.945,7.63,0.45
11/25/2020,283.1915717,281.2548523,789.2779536,6.927611814,6.708817363,9.052292722,33.24324895,91.48270042,29.85740148,1.2,7.55,33.25494262,15.5,91.47295422,1,91.49356414,0.922394373,280.9810127,9.05135308,-228.2318565,529.4510549,7.815,7.55,0.43
11/26/2020,266.058289,284.0495781,847.5941878,7.39864346,6.74515308,6.763520443,32.68839662,90.54240506,28.98934473,1.2,7.23,32.68129578,15.5,90.55066034,1,90.57085232,0.935808747,284.0529536,6.764010844,-123.0417722,480.0799578,7.46,7.23,0.46
11/27/2020,252.8464448,305.7105263,816.2483789,7.26936,6.766878674,6.728377158,32.14568421,89.83536842,28.31888421,1.2,6.33,32.172988,15.5,89.83860779,1,89.83798926,0.942746238,305.7501053,6.7283116,-151.2326316,433.1861053,6.46,6.33,0.39
11/30/2020,314.043239,312.5438819,798.0805408,6.679021097,6.704207011,10.29365602,35.00316456,93.2625879,31.42304353,1.2,7.22,35.1220327,15.5,93.13201252,1,93.28945963,0.921261769,312.6770745,10.29328196,-175.5797468,514.7839662,7.4,7.22,0.42
12/1/2020,390.2737236,180.1242616,717.4749494,5.892474684,6.7623,9.195120527,39.88417722,97.12320675,35.28854135,1.2,2.76,39.89278734,15.5,97.23610992,1,97.23610992,0.94145561,180.1257384,9.200929135,-168.2010549,655.5459916,3.025,2.76,0.51
12/2/2020,480.6096962,182.5761603,718.8432468,6.167723629,6.72987057,8.430797089,44.41561181,102.0850211,39.86792637,1.2,5.73,44.41896224,15.5,102.0934979,1,102.0915865,0.92880931,182.578903,8.430789747,-194.5364979,700.9314346,5.885,5.73,0.27
12/3/2020,461.8687221,165.5753684,606.4953684,7.056113684,6.605123326,7.736783726,41.64294737,101.1671579,38.914644,1.2,4.41,41.62798253,15.5,101.0838257,1,101.1059008,0.886790817,165.6002105,7.737081642,-19.47642105,640.2362105,4.535,4.41,0.36
12/4/2020,358.1762363,171.2014768,411.499097,7.038293249,6.5655977,10.26916359,35.55949367,95.48902954,33.65854979,1.2,3.6,35.55734008,15.5,95.50749409,1,95.50640675,0.872963608,171.1936709,10.26907291,-105.8751055,599.3459916,3.75,3.6,0.36
12/7/2020,384.5190784,168.3788279,604.8725128,6.534046313,6.252570582,12.03671591,32.05897461,96.88447642,34.99504883,1.2,4.46,32.05550997,15.5,96.92334037,1,96.90848287,0.763398514,168.3832438,12.03692204,-341.8128362,641.8602764,4.69,4.46,0.34
12/8/2020,671.9016139,172.9225738,485.7874494,6.167449367,6.44034154,12.36744557,50.2257384,116.3666667,49.55852046,1.287763713,4.31,51.69776013,15.5,111.9700006,1.152320675,116.198161,0.829123635,172.9506329,12.36598454,-105.1468354,1013.852954,4.58,4.31,0.41
12/9/2020,524.87073,152.1021097,808.1535253,7.278270042,6.680957194,6.002030042,49.81835443,119.8801688,42.11014262,1.3,3.41,49.90850844,15.5,104.4726939,1.2,119.8257321,0.913345863,152.0706751,6.001718122,-225.0588608,809.5232068,3.615,3.41,0.42
12/10/2020,545.9178861,144.7272152,468.9305232,7.356957806,6.635648776,6.795489051,47.0742616,106.9700422,43.17808523,1.211603376,3.08,47.15427363,15.5,105.6075451,1.024050633,106.9519382,0.897483502,144.7156118,6.795285759,-32.03755274,811.5495781,3.18,3.08,0.26
12/11/2020,398.6119937,150.0785263,683.8175621,7.222583158,6.672843032,9.991461011,39.22421053,97.544,35.70983432,1.2,3.16,39.21153032,15.5,97.68248968,1,97.68248968,0.910499931,150.0749474,9.992190021,-161.2781053,679.7722105,3.25,3.16,0.32
